GeoName,Year,All industry total,Personal income (thousands of dollars),Population (persons) 3/,Total employment,Wages and salaries
"Adams, IN",2010,0.011769621,0.020184287,0.031550827,0.02418583,0.013207965
"Allen, IN",2010,0.188604976,0.322695572,0.389373501,0.320691209,0.25371683
"Bartholomew, IN",2010,0.062878551,0.071691395,0.078648423,0.071662264,0.066275948
"Benton, IN",2010,0.002263287,0.002048843,0.003088659,0.002693041,0.001415337
"Blackford, IN",2010,0.001750753,0.00462814,0.007446827,0.004041769,0.002463492
"Boone, IN",2010,0.022118246,0.07259287,0.056605012,0.041697219,0.026643108
"Brown, IN",2010,0.001246372,0.008230661,0.010161643,0.004941413,0.001196648
"Carroll, IN",2010,0.005426933,0.011928771,0.015705874,0.008098263,0.004284073
"Cass, IN",2010,0.012828539,0.025288566,0.036616628,0.02473504,0.015977775
"Clark, IN",2010,0.050329436,0.095205007,0.116306471,0.085860728,0.060772355
"Clay, IN",2010,0.00593192,0.015758743,0.023122661,0.011573154,0.005937919
"Clinton, IN",2010,0.012174549,0.020701381,0.03021901,0.01836097,0.012560915
"Crawford, IN",2010,0.000398962,0.001721146,0.005143685,0.001999535,0.000396228
"Daviess, IN",2010,0.01020186,0.021017583,0.028520025,0.020361978,0.010913804
"DeKalb, IN",2010,0.021836964,0.029942599,0.040322796,0.032145686,0.025121198
"Dearborn, IN",2010,0.016365235,0.041806171,0.048976826,0.02693335,0.01818136
"Decatur, IN",2010,0.011503608,0.017158232,0.021925472,0.018228453,0.013666566
"Delaware, IN",2010,0.043762726,0.082345647,0.12410489,0.081855768,0.055210142
"Dubois, IN",2010,0.024114749,0.039144857,0.039882195,0.044795173,0.033038645
"Elkhart, IN",2010,0.116628861,0.154918346,0.212941658,0.183553753,0.142721899
"Fayette, IN",2010,0.005056664,0.013524602,0.020305483,0.010040374,0.005931008
"Floyd, IN",2010,0.027422076,0.071307919,0.07638756,0.053348411,0.037224564
"Fountain, IN",2010,0.004513225,0.008735913,0.012453659,0.00763887,0.004352023
"Franklin, IN",2010,0.003262379,0.017031134,0.018883543,0.007469543,0.002807591
"Fulton, IN",2010,0.005306813,0.011730407,0.01640238,0.010878176,0.006336217
"Gibson, IN",2010,0.030143961,0.024369687,0.030530546,0.02696427,0.025570608
"Grant, IN",2010,0.027808638,0.051098564,0.071044714,0.047274714,0.0346371
"Greene, IN",2010,0.00536377,0.021726601,0.03013445,0.013449006,0.006313345
"Hamilton, IN",2010,0.150910608,0.396603891,0.300973996,0.226125585,0.184291471
"Hancock, IN",2010,0.020278759,0.067143676,0.071401868,0.039541609,0.025340483
"Harrison, IN",2010,0.009289429,0.029151377,0.036959318,0.021466286,0.011325398
"Hendricks, IN",2010,0.04762028,0.142636037,0.155674632,0.096915593,0.063909242
"Henry, IN",2010,0.011060002,0.032350755,0.048361542,0.022015496,0.012667838
"Howard, IN",2010,0.049625176,0.062941379,0.085326423,0.062269752,0.052953342
"Huntington, IN",2010,0.012831535,0.02579419,0.034530448,0.024119572,0.015111545
"Jackson, IN",2010,0.020171963,0.033317349,0.040664373,0.031343222,0.022606068
"Jasper, IN",2010,0.014835066,0.024299831,0.030484928,0.019456445,0.012151251
"Jay, IN",2010,0.007147197,0.011030197,0.016794026,0.01284679,0.007211357
"Jefferson, IN",2010,0.014538906,0.02261674,0.029303316,0.020227988,0.013823654
"Jennings, IN",2010,0.005927863,0.015822744,0.024919557,0.011919171,0.007819188
"Johnson, IN",2010,0.040740005,0.134407877,0.14933487,0.083883279,0.049408334
